InvoiceNo,Fournisseur
536365,F200
536366,F453
536367,F131
536368,F763
536369,F979
536370,F131
536371,F763
536372,F312
536373,F763
536374,F240
536375,F763
536376,F131
536377,F668
536378,F336
536380,F763
536381,F119
C536379,F657
536382,F389
C536383,F117
536384,F998
536385,F929
536386,F131
536387,F682
536388,F200
536389,F301
536390,F911
C536391,F581
536392,F652
536393,F625
536394,F131
536395,F437
536396,F657
536397,F227
536398,F119
536399,F864
536400,F193
536401,F763
536402,F497
536403,F803
536404,F864
536405,F316
536406,F131
536407,F819
536408,F134
536409,F751
536412,F608
536414,F336
536415,F112
536416,F336
536420,F625
536423,F134
536425,F864
536437,F777
536446,F432
536460,F508
536463,F629
536464,F325
536466,F958
536477,F962
536488,F572
536500,F929
536502,F381
536508,F492
C536506,F692
536514,F966
536520,F337
536521,F629
536522,F826
536523,F190
536524,F631
536525,F799
536526,F437
536527,F803
536528,F150
536529,F275
536530,F318
536531,F550
536532,F806
536533,F763
536534,F803
536535,F131
536536,F849
536537,F658
536538,F519
536539,F620
536540,F253
536541,F337
536542,F763
C536543,F497
536544,F267
536545,F470
536546,F267
536547,F403
C536548,F763
536549,F112
536550,F581
536551,F336
536552,F131
536553,F227
536554,F356
536555,F746
536556,F497
536557,F226
536558,F607
536559,F638
536560,F728
536561,F683
536562,F988
536563,F288
536564,F824
536565,F797
536566,F301
536567,F864
536568,F760
536569,F797
536570,F131
536571,F437
536572,F131
536573,F131
536574,F389
536575,F613
536576,F194
536577,F554
536578,F302
536579,F501
536580,F440
536581,F981
536582,F227
536583,F501
536584,F581
536585,F317
536586,F887
536587,F232
536588,F611
536589,F864
536590,F106
536591,F943
536592,F131
536593,F804
536594,F312
536595,F741
536596,F504
536597,F859
536598,F658
536599,F497
536600,F437
536601,F112
536602,F252
536603,F887
536604,F131
536605,F637
C536606,F408
536607,F962
536608,F623
536609,F962
536610,F211
536611,F659
536612,F763
536613,F657
536614,F264
536615,F654
536616,F962
536617,F429
536618,F448
536619,F855
536620,F301
536621,F507
C536622,F409
536623,F658
536624,F301
536626,F513
C536625,F337
536627,F777
536628,F284
536629,F242
536630,F632
536631,F963
536632,F822
536633,F803
536634,F588
536635,F637
536636,F847
536637,F625
536638,F632
536639,F430
536640,F834
536641,F399
C536642,F267
536643,F128
536663,F588
536667,F554
536670,F652
536671,F629
536672,F152
536673,F389
536674,F774
536676,F550
536681,F125
536685,F253
536688,F763
536690,F847
536693,F549
536698,F700
536707,F166
536732,F847
536733,F209
C536734,F597
536735,F991
536736,F131
C536737,F408
536738,F501
536739,F752
536740,F659
536741,F116
536742,F288
536743,F757
536744,F799
536745,F253
536746,F980
536747,F705
536748,F966
536749,F203
536750,F307
536751,F409
536752,F131
536753,F629
536754,F815
536755,F845
536756,F667
C536757,F629
C536758,F511
536759,F182
C536760,F373
536761,F930
536762,F284
536763,F253
536764,F273
536765,F815
536769,F864
536771,F652
536777,F571
536778,F538
536779,F302
536780,F991
536781,F695
536782,F962
536783,F267
536784,F588
536785,F846
536786,F685
536787,F991
536788,F659
536789,F845
536790,F620
536791,F763
536792,F781
536793,F409
536794,F859
536795,F234
536796,F937
536797,F188
536798,F167
536799,F101
536800,F511
536801,F267
536802,F711
536803,F818
536804,F209
536805,F848
536806,F765
C536807,F746
536808,F864
536809,F639
536810,F607
536811,F474
C536812,F134
536813,F458
C536814,F864
C536815,F490
C536816,F644
C536817,F972
C536818,F171
536819,F707
C536820,F336
536821,F131
C536822,F131
536823,F490
536824,F385
C536825,F337
C536826,F202
C536827,F408
C536828,F431
C536829,F389
536830,F848
536831,F657
536832,F288
536833,F754
536834,F288
536835,F133
536836,F970
536837,F310
536838,F509
536839,F639
536840,F408
536841,F633
536842,F437
536843,F497
536844,F849
536845,F234
536846,F799
536847,F726
536848,F284
536849,F245
C536850,F333
536851,F404
536852,F454
C536853,F809
C536854,F613
C536855,F847
536856,F101
536857,F354
536858,F978
536859,F770
536860,F670
536861,F131
536862,F302
536863,F308
536864,F667
536865,F462
536866,F437
536874,F652
536876,F337
536883,F432
536884,F537
536885,F550
536890,F651
536920,F543
536938,F385
536941,F873
536942,F987
536943,F564
536944,F642
536945,F439
536946,F286
536947,F966
536954,F709
536956,F914
536957,F908
536960,F937
536967,F440
536968,F288
536969,F806
536970,F142
536971,F981
536972,F860
536973,F113
536974,F739
536975,F452
536976,F144
536977,F583
C536978,F463
C536979,F233
536980,F795
536981,F629
536982,F928
536983,F684
536984,F367
536985,F538
536986,F181
536987,F980
536988,F272
536989,F234
536990,F607
536991,F162
536992,F691
536993,F911
536994,F131
536995,F437
536996,F159
536997,F513
536998,F457
536999,F181
537000,F720
537001,F757
537002,F668
537003,F520
537004,F906
537005,F359
537006,F751
537007,F655
537008,F130
537009,F652
537010,F461
537011,F711
537012,F620
537013,F325
537014,F373
537015,F770
537016,F403
537017,F330
537018,F235
537019,F219
537020,F667
537021,F584
537022,F658
537023,F285
537025,F540
C537024,F177
537026,F691
537027,F350
537028,F797
537029,F312
537030,F757
537031,F458
537032,F197
537034,F713
537035,F730
537036,F254
537037,F254
537038,F352
C537039,F696
537040,F315
537041,F659
537042,F566
C537043,F181
537044,F241
537045,F396
537046,F669
537047,F777
537048,F300
537049,F668
537050,F543
537051,F822
537052,F864
537053,F384
537054,F175
537055,F319
537057,F227
537058,F696
537059,F513
537065,F482
537067,F709
537077,F639
537081,F629
537086,F319
537090,F906
537111,F462
537117,F763
537126,F302
537127,F458
537128,F805
537129,F889
537130,F174
537131,F336
537133,F807
C537132,F771
537134,F599
537135,F122
537136,F607
537137,F983
537138,F560
537139,F839
537140,F290
537141,F225
537142,F800
C537143,F357
537144,F172
537153,F445
537154,F875
537155,F887
537156,F629
C537157,F369
537158,F597
537159,F543
537160,F915
537163,F864
C537164,F898
537176,F990
537179,F172
537192,F302
537193,F847
537194,F737
537195,F291
537196,F959
537197,F236
537198,F474
537199,F908
537200,F979
537201,F713
537202,F730
C537203,F720
537204,F279
537205,F951
537206,F156
537207,F234
537208,F131
537209,F766
537210,F404
537211,F177
537212,F312
537213,F882
537214,F695
537215,F801
537216,F470
537217,F301
537218,F763
537219,F887
537220,F437
537221,F364
537222,F864
537223,F125
537224,F298
537225,F978
537226,F435
537227,F685
537228,F205
537229,F887
537230,F933
537231,F408
C537232,F139
537233,F418
C537234,F251
537235,F609
537236,F226
537237,F942
537238,F929
537239,F312
537240,F437
537241,F128
537242,F620
537243,F387
537244,F807
537245,F131
537246,F668
537247,F789
537248,F426
537249,F820
537250,F672
C537251,F261
537252,F403
537253,F609
537254,F839
537255,F646
537256,F408
537257,F409
537258,F861
537262,F224
537265,F875
537298,F543
537301,F736
537312,F895
537313,F904
C537314,F943
C537320,F530
537332,F337
C537333,F898
537334,F678
537335,F105
537346,F864
537350,F990
537351,F378
537354,F337
537359,F666
537360,F261
537361,F131
537362,F227
537363,F966
537364,F866
537365,F860
537366,F403
537367,F613
537368,F213
537369,F371
537370,F436
537371,F188
537372,F236
537374,F871
537375,F939
C537373,F797
537376,F876
537377,F644
537378,F644
537380,F524
C537379,F885
537381,F799
537382,F918
C537383,F803
537384,F709
537385,F483
537386,F177
537387,F284
537388,F430
537389,F914
537390,F302
537391,F242
537392,F822
537393,F253
537394,F700
537395,F253
537396,F385
537397,F410
C537398,F145
537399,F703
537400,F987
537401,F414
537403,F691
C537402,F385
537404,F571
537405,F999
C537406,F159
537407,F871
C537408,F363
537409,F772
537410,F805
537411,F894
537412,F268
C537413,F957
537415,F743
C537414,F383
C537416,F632
C537417,F445
537418,F425
537419,F363
537420,F330
537421,F875
537422,F178
537423,F805
537424,F702
537425,F856
537426,F414
537427,F898
537428,F330
537429,F943
537430,F200
537432,F253
C537431,F692
537433,F925
537434,F530
537435,F600
537436,F409
537437,F102
537438,F206
537439,F516
537440,F167
537441,F947
537442,F725
C537444,F298
C537445,F887
537446,F720
537447,F178
537448,F829
537449,F885
537450,F140
537451,F957
537452,F739
537453,F406
537454,F657
537455,F576
537456,F337
537457,F257
537458,F195
537459,F753
537460,F903
537461,F395
537462,F418
537463,F917
537464,F131
537465,F847
537466,F913
537467,F476
537468,F652
537469,F525
537470,F914
537471,F224
537472,F699
537476,F172
537484,F450
537489,F848
537509,F842
537523,F469
C537530,F403
537534,F212
537538,F667
537567,F125
C537572,F644
C537581,F476
537592,F272
537593,F949
537594,F819
537595,F873
C537596,F336
C537597,F899
537598,F302
537599,F803
C537600,F288
537601,F557
C537602,F837
537603,F553
537604,F116
537605,F737
537606,F670
537607,F812
537608,F273
537609,F635
C537610,F966
C537611,F484
537612,F336
C537613,F192
537614,F894
537615,F869
537616,F339
537617,F336
537618,F642
537619,F682
537620,F924
537621,F335
537622,F447
537623,F707
537624,F859
537625,F865
537626,F933
537627,F105
537628,F583
537629,F216
537631,F131
C537630,F774
537632,F766
537633,F253
537634,F239
537635,F461
537636,F657
537637,F503
537638,F632
537639,F950
537640,F490
537641,F507
537642,F396
537643,F839
537645,F668
C537644,F445
537646,F763
C537647,F272
537648,F240
537649,F108
537650,F873
C537651,F990
C537652,F327
537653,F902
537654,F205
537655,F333
C537656,F958
537657,F568
537658,F761
537659,F730
537664,F559
537665,F692
537666,F579
537667,F809
537668,F464
537669,F905
537670,F312
537671,F702
537672,F683
537673,F618
537674,F693
537675,F873
537676,F446
C537677,F500
537678,F181
537679,F578
537680,F198
537681,F319
537682,F662
537683,F864
C537684,F372
537685,F162
537686,F548
537687,F763
537688,F834
537689,F672
537690,F931
537691,F454
537692,F895
537693,F602
537694,F847
537698,F542
537700,F440
537707,F351
537738,F101
537743,F265
C537746,F380
537751,F294
537754,F943
537755,F251
C537756,F601
537757,F803
537758,F887
537759,F763
537760,F436
537761,F630
537762,F437
C537763,F552
537764,F349
537765,F188
537766,F253
537767,F890
537768,F285
537769,F555
537770,F175
537771,F499
537772,F840
537773,F321
537774,F321
537775,F667
537780,F867
537781,F538
537789,F669
C537788,F805
537791,F188
537792,F319
537793,F386
537794,F767
537795,F603
537796,F644
537799,F505
C537797,F834
C537798,F273
537800,F480
537801,F859
537802,F685
537803,F311
537804,F637
C537805,F777
537806,F134
537808,F440
C537807,F652
537809,F709
537810,F507
537811,F774
C537812,F516
537813,F616
C537814,F519
537815,F760
537816,F632
537817,F972
537818,F131
537819,F299
C537820,F598
C537821,F311
537822,F549
537823,F970
C537824,F503
537825,F961
537826,F197
537827,F206
537828,F688
537829,F559
537830,F853
537831,F253
C537832,F713
537833,F583
C537834,F956
C537835,F692
537836,F391
537837,F981
C537838,F270
537839,F284
537840,F314
537841,F981
537842,F988
537843,F195
537844,F734
537845,F882
537846,F291
537847,F302
537848,F497
537849,F181
537850,F643
537851,F197
537852,F319
C537853,F734
537854,F168
537855,F206
C537856,F266
C537857,F336
537858,F254
537859,F631
C537860,F250
537861,F468
537862,F970
537863,F933
537864,F620
537865,F266
537866,F131
537867,F667
537868,F257
537870,F302
537871,F930
537872,F218
537873,F771
537874,F399
537875,F934
537876,F112
537877,F377
537878,F113
537879,F302
537880,F618
537881,F241
537882,F271
537883,F851
537884,F105
537885,F654
537886,F955
537887,F319
537888,F537
537889,F319
537890,F845
537891,F746
537892,F707
C537893,F133
537894,F818
537895,F777
537896,F558
537897,F754
537898,F791
537899,F322
537900,F291
537901,F114
537915,F508
537955,F239
537963,F290
537967,F277
537981,F642
537995,F978
C537998,F539
537999,F626
538000,F787
538001,F988
538002,F406
538003,F529
538004,F678
538005,F219
538006,F402
538007,F919
538008,F140
538009,F550
538010,F543
538011,F651
538012,F771
538013,F388
538014,F423
538015,F264
538032,F829
538035,F910
538036,F656
538037,F585
538038,F230
538039,F943
538040,F698
538041,F774
538042,F362
538043,F306
538044,F891
538045,F513
538046,F752
538047,F818
538048,F738
538049,F871
538050,F253
538051,F232
C538052,F473
538053,F968
538054,F194
538055,F624
538056,F797
538057,F230
538058,F113
C538059,F741
538060,F876
538061,F391
C538062,F763
538063,F389
538064,F839
538065,F330
C538066,F111
538067,F395
538068,F149
538069,F959
538070,F864
538071,F711
538072,F962
538073,F962
538074,F114
C538075,F292
538076,F898
538077,F379
538078,F349
538079,F445
538080,F277
C538081,F984
C538082,F763
C538083,F301
C538084,F302
C538085,F809
538086,F981
538087,F146
C538088,F113
C538089,F897
538090,F210
C538091,F387
538092,F997
538093,F220
538094,F900
538095,F351
538096,F924
538097,F625
C538098,F658
C538099,F598
C538100,F365
538101,F325
C538102,F178
C538103,F268
538104,F301
C538105,F664
538106,F302
538107,F667
